30	1	28.96	20.87
30	2	1.1	13.97
40	1	28.75	20.43
40	2	1.53	13.79
50	1	28.47	19.9
50	2	2.07	13.54
50	3	29	20.99
60	1	28.16	19.33
60	2	2.65	13.26
60	3	28.87	20.67
60	4	1.09	13.85
70	1	27.85	18.75
70	2	3.25	12.98
70	3	28.62	20.17
70	4	1.19	13.39
80	1	27.53	18.16
80	2	3.85	12.69
80	3	28.32	19.61
80	4	1.55	13.18
80	5	28.96	20.87
80	6	1.01	14
90	1	27.21	17.57
90	2	4.45	12.39
90	3	28.01	19.04
90	4	1.81	12.76
90	5	28.75	20.43
90	6	1.33	13.88
100	1	26.89	16.98
100	2	5.05	12.1
100	3	27.69	18.45
100	4	1.9	12.18
100	5	28.47	19.9
100	6	1.84	13.65
110	1	26.57	16.39
110	2	5.65	11.81
110	3	27.37	17.87
110	4	1.93	11.54
110	5	28.16	19.33
110	6	2.41	13.38
110	7	28.89	20.72
110	8	1.1	13.97
120	1	26.25	15.81
120	2	6.25	11.52
120	3	27.05	17.28
120	4	1.93	10.88
120	5	27.85	18.75
120	6	3.01	13.09
120	7	28.64	20.23
120	8	1.53	13.79
130	1	25.93	15.22
130	2	6.86	11.22
130	3	26.73	16.69
130	4	1.92	10.22
130	5	27.53	18.16
130	6	3.6	12.8
130	7	28.35	19.67
130	8	2.07	13.54
130	9	28.97	20.9
140	1	25.61	14.63
140	2	7.46	10.93
140	3	26.41	16.1
140	4	1.91	9.55
140	5	27.21	17.57
140	6	4.21	12.51
140	7	28.04	19.1
140	8	2.65	13.26
140	9	28.78	20.48
140	10	1.21	13.95
150	1	25.29	14.04
150	2	8.06	10.64
150	3	26.09	15.51
150	4	1.9	8.88
150	5	26.89	16.98
150	6	4.81	12.22
150	7	27.72	18.51
150	8	3.25	12.98
150	9	28.5	19.95
150	10	1.7	13.78
160	1	24.97	13.45
160	2	8.67	10.34
160	3	25.77	14.92
160	4	1.88	8.21
160	5	26.57	16.39
160	6	5.41	11.93
160	7	27.4	17.92
160	8	3.85	12.69
160	9	28.19	19.39
160	10	2.29	13.57
160	11	28.89	20.72
160	12	1.01	14
170	1	24.65	12.86
170	2	9.27	10.05
170	3	25.45	14.33
170	4	1.87	7.54
170	5	26.25	15.81
170	6	6.01	11.63
170	7	27.08	17.34
170	8	4.45	12.39
170	9	27.88	18.8
170	10	2.9	13.34
170	11	28.64	20.23
170	12	1.34	13.9
180	1	24.29	12.3
180	2	9.87	9.76
180	3	25.13	13.75
180	4	1.86	6.87
180	5	25.93	15.22
180	6	6.62	11.34
180	7	26.76	16.75
180	8	5.05	12.1
180	9	27.56	18.22
180	10	3.52	13.11
180	11	28.35	19.67
180	12	1.87	13.72
180	13	28.97	20.9
190	1	23.88	11.78
190	2	10.47	9.47
190	3	24.81	13.16
190	4	1.84	6.2
190	5	25.61	14.63
190	6	7.22	11.05
190	7	26.44	16.16
190	8	5.65	11.81
190	9	27.24	17.63
190	10	4.14	12.88
190	11	28.04	19.1
190	12	2.47	13.5
190	13	28.78	20.48
190	14	1.1	13.98
200	1	23.44	11.27
200	2	11.08	9.17
200	3	24.48	12.58
200	4	1.83	5.53
200	5	25.29	14.04
200	6	7.82	10.76
200	7	26.12	15.57
200	8	6.25	11.52
200	9	26.92	17.04
200	10	4.77	12.64
200	11	27.72	18.51
200	12	3.08	13.27
200	13	28.5	19.95
200	14	1.54	13.84
210	1	22.99	10.78
210	2	11.68	8.88
210	3	24.09	12.04
210	4	1.82	4.86
210	5	24.97	13.45
210	6	8.42	10.46
210	7	25.8	14.98
210	8	6.86	11.22
210	9	26.6	16.45
210	10	5.4	12.4
210	11	27.4	17.92
210	12	3.71	13.04
210	13	28.19	19.39
210	14	2.11	13.63
210	15	28.91	20.76
220	1	22.53	10.29
220	2	12.28	8.59
220	3	23.66	11.52
220	4	1.8	4.19
220	5	24.65	12.86
220	6	9.03	10.17
220	7	25.48	14.39
220	8	7.46	10.93
220	9	26.28	15.86
220	10	6.02	12.17
220	11	27.08	17.34
220	12	4.33	12.81
220	13	27.88	18.8
220	14	2.71	13.41
220	15	28.67	20.28
220	16	1.21	13.93
230	1	22.28	9.81
230	2	12.89	8.32
230	3	23.21	11.03
230	4	1.79	3.52
230	5	24.29	12.3
230	6	9.63	9.88
230	7	25.16	13.81
230	8	8.06	10.64
230	9	25.96	15.28
230	10	6.65	11.93
230	11	26.76	16.75
230	12	4.96	12.57
230	13	27.56	18.22
230	14	3.33	13.18
230	15	28.38	19.73
230	16	1.68	13.72
230	17	28.98	20.93
240	1	22.43	9.45
240	2	13.53	8.24
240	3	22.76	10.53
240	4	1.77	2.85
